Korban	EVENT
Kecelakaan	EVENT
ditolong	O
oleh	O
Personel	O
Polres	LOC
Simeulue	LOC
di	O
Desa	LOC
Suak	LOC
Buluh	LOC

Personel	O
Polres	LOC
Aceh	LOC
Membantu	O
Korban	EVENT
Insiden	EVENT
di	O
Desa	LOC
Air	LOC
Dingin	LOC

Personel	O
Polres	LOC
Simeulue	LOC
dengan	cepat	O
bergerak	O
untuk	O
menolong	O
korban	EVENT
insiden	EVENT
lalu	EVENT
lintas	EVENT
yang	O
terjadi	O
di	O
Desa	LOC
Suak	LOC
Buluh	LOC
,	O
Kecamatan	O
Simeulue	LOC
Timur	LOC
,	O
Kabupaten	LOC
Simeulue	LOC
,	O
pada	O
hari	O
Kamis	TIME
,	O
(31/06/2024)	TIME
.	O

Korban	EVENT
insiden	EVENT
lalu	EVENT
lintas	EVENT
di	O
Desa	LOC
Suak	LOC
Buluh	LOC
,	O
Kecamatan	O
Simeulue	LOC
Timur	LOC
,	O
Kabupaten	LOC
Simeulue	LOC
,	O
pada	O
hari	O
Kamis	TIME
(31/07/2024)	TIME
,	O
segera	O
mendapatkan	O
pertolongan	O
dari	O
personel	O
Polres	LOC
Simeulue	LOC
yang	O
langsung	O
bergerak	O
ke	O
lokasi	O
kejadian	O
.	O

Insiden	EVENT
tersebut	O
melibatkan	O
dua	O
pengendara	O
sepeda	O
motor	O
yang	O
saling	O
bertabrakan	EVENT
.	O

Berdasarkan	O
keterangan	O
saksi	O
mata	O
di	O
lokasi	O
kejadian	O
,	O
kecelakaan	EVENT
terjadi	EVENT
sekitar	O
pukul	O
08.10	TIME
WIB	O
,	O
menyebabkan	O
dua	O
pengendara	O
sepeda	O
motor	O
mengalami	O
cedera	O
ringan	O
dan	O
harus	O
mendapatkan	O
perawatan	O
.	O

Petugas	O
kepolisian	O
dari	O
Polres	LOC
Simeulue	LOC
yang	O
berada	O
di	O
sekitar	O
lokasi	O
segera	O
bergerak	O
untuk	O
memberikan	O
bantuan	O
kepada	O
korban	O
dan	O
mengamankan	O
TKP	O
guna	O
menghindari	O
kemacetan	EVENT
dan	O
kerumunan	O
massa	O
.	O

“Kami	O
dengan	O
sigap	O
memberikan	O
pertolongan	O
kepada	O
korban	O
sesaat	O
setelah	O
kecelakaan	EVENT
terjadi	EVENT
.	O
Tindakan	O
darurat	O
dilakukan	O
untuk	O
menangani	O
korban	O
yang	O
mengalami	O
cedera	O
sebelum	O
mereka	O
dilarikan	O
ke	O
rumah	LOC
sakit	LOC
guna	O
mendapatkan	O
perawatan	O
lanjutan	O
,	O
”	O
ujar	O
Bripka	O
Darmawan	O
dari	O
Polres	LOC
Simeulue	LOC
dalam	O
keterangannya	O
.	O

Personel	O
Polres	LOC
Simeulue	LOC
melakukan	O
penyelidikan	O
awal	O
di	O
tempat	O
kejadian	O
untuk	O
mengidentifikasi	O
penyebab	EVENT
kecelakaan	EVENT
.	O

“Kami	O
mengumpulkan	O
data	O
dan	O
informasi	O
dari	O
saksi-saksi	O
serta	O
memeriksa	O
kondisi	O
kendaraan	O
yang	O
terlibat	O
,	O
”	O
tambah	O
Bripka	O
Amri	O
Kanit	O
Laka	O
Polres	LOC
Simeulue	LOC
.	O

(21/12/2023)	TIME
Satuan	O
Lalu	EVENT
Lintas	EVENT
Polres	LOC
Simeulue	LOC
mengamankan	O
kejadian	EVENT
lalu	EVENT
lintas	EVENT
tunggal	EVENT
di	O
Desa	LOC
Semfoyan	LOC
,	O
Kecamatan	O
Simeulue	LOC
Timur	LOC
,	O
Kabupaten	O
Simeulue	LOC
pada	O
Kamis	TIME
,	O
(21/12/2023)	TIME
.	O

Satu	O
unit	O
Dum	O
Truck	O
nomor	O
plat	O
BL.	O
8514.AG	O
terbalik	EVENT
di	O
lokasi	O
kejadian.	O

Berita	O
baiknya	O
,	O
tidak	O
ada	O
korban	EVENT
jiwa	EVENT
.	O

Sat	O
Lantas	O
Polres	O
Simeulue	LOC
melakukan	O
penyelidikan	O
lebih	O
lanjut	O
untuk	O
menentukan	O
penyebab	O
pasti	O
kejadian	O
tersebut	O
.	O

Kecelakaan	EVENT
lalu	EVENT
lintas	EVENT
(	O
Laka	EVENT
Lantas	EVENT
)	O
tunggal	O
di	O
Jalan	LOC
Umum	LOC
Singkil	LOC
–	O
Subulussalam	LOC
,	O
Desa	LOC
Suro	LOC
Baru	LOC
,	O
Kecamatan	LOC
Suro	LOC
Makmur	LOC
,	O
Kabupaten	O
Aceh	LOC
Singkil	LOC
menyebabkan	O
tiga	O
korban	EVENT
meninggal	EVENT
dan	O
satu	O
luka	O
berat	O
.	O

Kejadian	O
sekira	O
11.00	TIME
,	O
mobil	O
truk	O
Fuso	O
Trado	O
putih	O
BK	O
9955	O
CM	O
bermuatan	O
loader	O
(	O
scopel	O
roda	O
4	O
)	O
dari	O
Subulussalam	LOC
menuju	O
Singkil	LOC
.	O

Melaju	O
dengan	O
kecepatan	O
sedang	O
,	O
di	O
TKP	O
jalan	O
turunan	O
dan	O
tikungan	O
ke	O
kanan	O
arah	O
Singkil	LOC
mobil	O
diduga	O
mengalami	O
rem	EVENT
blong	EVENT
dan	O
kehilangan	EVENT
kendali	EVENT
.	O

Akibatnya	O
mobil	O
meluncur	O
ke	O
luar	O
badan	O
jalan	O
lajur	O
kiri	O
arah	O
Singkil	LOC
dan	O
masuk	O
ke	O
kolam	O
.	O

Scopel	O
empat	O
roda	O
bawaan	O
mobil	O
mendorong	O
kabin	O
mobil	O
fuso	O
trado	O
asal	O
Simeulue	LOC
hingga	EVENT
hancur	EVENT
.	O

Korban	EVENT
dibawa	O
ke	O
RSUD	LOC
Aceh	LOC
Singkil	LOC
dan	O
dua	O
korban	O
dibawa	O
ke	O
RSUD	LOC
Subulussalam	LOC
,	O
”	O
demikian	O
informasi	O
awal	O
diterima	O
Waspada.id	O
dari	O
Kapolres	O
Aceh	LOC
Singkil	LOC
melalui	O
Kasat	O
Lantas	O
,	O
AKP	O
Hendra	O
,	O
Selasa	TIME
(24/10)	TIME
.	O

Sumber	O
lain	O
menerangkan	O
korban	O
meninggal	EVENT
dunia	EVENT
yakni	O
Abu	O
Salam	O
,	O
38	O
,	O
pengendara	O
mobil	O
wiraswasta	O
,	O
alamat	O
Suka	LOC
Karya	LOC
Kec.	O
Simeulue	LOC
Timur	LOC
Kab.	O
Simeulue	LOC
dan	O
korban	O
luka	EVENT
berat	EVENT
atas	O
nama	O
Abdul	O
Azis	O
,	O
68	O
,	O
sopir	O
,	O
warga	O
Desa	LOC
Mancang	LOC
Kecamatan	LOC
Lhoksukon	LOC
,	O
Kabupaten	O
Aceh	LOC
Utara	LOC
.	O

Dedi	O
Setiawan	O
32	O
meninggal	EVENT
dunia	EVENT
kernek	O
alamat	O
Simeulue	LOC
satu	O
orang	O
identitas	O
informasi	O
warga	O
Kecamatan	O
Simeulue	LOC
Barat	LOC

Seorang	O
pengendara	O
sepeda	O
motor	O
di	O
Simeulue	LOC
mengalami	O
insiden	EVENT
dan	O
terpeleset	EVENT
ke	EVENT
dalam	EVENT
jurang	EVENT
ketika	O
melewati	O
jalan	LOC
Sinabang	LOC
Teupah	LOC
Selatan	LOC
,	O
tepatnya	O
di	O
rute	O
yang	O
terletak	O
di	O
pegunungan	O
desa	LOC
Pulau	LOC
Bangkalak	LOC
,	O
Kabupaten	O
Simeulue	LOC
,	O
Selasa	TIME
(07/05/2024)	TIME

Insiden	EVENT
fatal	O
ini	O
terjadi	O
karena	O
keadaan	O
jalan	O
yang	O
telah	O
lama	O
mengalami	O
tanah	EVENT
ambles	EVENT
serta	O
terdapat	O
lubang	O
besar	O
,	O
namun	O
belum	O
mendapatkan	O
perbaikan	O
yang	O
layak	O
.	O

Korban	O
Kharisma	O
Hamza	O
,	O
65	O
tahun	O
,	O
warga	O
Simeulue	LOC
,	O
berhasil	O
diselamatkan	EVENT
dan	O
dievakuasi	EVENT
oleh	O
warga	O
.	O

Namun	O
ia	O
mengalami	O
luka-luka	EVENT
dan	O
harus	O
segera	O
mendapatkan	O
perawatan	EVENT
karena	O
benturan	EVENT
saat	O
terjatuh	EVENT
bersama	O
kendaraannya	O
.	O

Menanggapi	O
kejadian	EVENT
ini	O
,	O
Zulfatah	O
,	O
Kepala	O
Dinas	O
Pekerjaan	O
Umum	O
dan	O
Pemukiman	O
Rakyat	O
(	O
PUPR	O
)	O
Simeulue	LOC
,	O
menyebutkan	O
pihaknya	O
telah	O
memasang	O
tanda	O
peringatan	EVENT
sementara	O
untuk	O
mengingatkan	O
pengguna	O
jalan	O
akan	O
bahaya	EVENT
di	O
lokasi	O
tersebut	O
.	O

Namun	O
karena	O
sudah	O
lama	O
,	O
tanda	O
peringatan	EVENT
tersebut	O
telah	O
usang	O
dan	O
hilang	EVENT
.	O

Lanjut	O
Zulfatah	O
,	O
pihaknya	O
tidak	O
melakukan	O
penimbunan	EVENT
pada	O
yang	O
longsor	EVENT
karena	O
dibawah	O
terdapat	O
gorong-gorong	O
dikhawatirkan	O
akan	O
menutup	O
aliran	O
air	O
.	O

Oleh	O
karena	O
itu	O
kata	O
Kadis	O
PUPR	O
